questions,answer
admin card not working,"You can proceed to i@Central or your school's admin office to check if the card is faulty and if access rights have been granted. If the card is damaged, you are advised to make a replacement card at i@Central located at Block A level 1 (facing Auditorium). If it is due to a lack of access rights, the card will be reformatted. If you are looking to replace your admin card, an administrative charge of $6.40 is levied for each student card replacement request. Payment for card replacement can be made via NETS, Flashpay, or CashCard at i@Central."
admin card access,"You can proceed to i@Central or your school's admin office to check if the card is faulty and if access rights have been granted. If the card is damaged, you are advised to make a replacement card at i@Central located at Block A level 1 (facing Auditorium). If it is due to a lack of access rights, the card will be reformatted. If you are looking to replace your admin card, an administrative charge of $6.40 is levied for each student card replacement request. Payment for card replacement can be made via NETS, Flashpay, or CashCard at i@Central."
I lost my admin card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
Lost admin card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
lost admin card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
Admin card lost,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
admin card lost,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
deactivate admin card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
deactivating admin card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
deactivate student card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
deactivating student card,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
block student card access,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
block admin card access,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Popular e-Services' and click on 'Activate/Deactivate Student Card Access' to deactivate your admin card immediately. If the card is not found after 2 days, you may request for replacement. The cost of the replacement of a Student Card is $6.40 (inclusive of GST)."
Can i get my own laptop,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Can i buy my own laptop,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Can i get my own notebook,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Can i buy my own notebook,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Must i buy my notebook from NYP appointed vendors,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Must i buy my laptop from NYP appointed vendors,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Is it compulsory to buy my laptop from NYP appointed vendors,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Is it compulsory to buy my notebook from NYP appointed vendors,You have a choice. You can either purchase the notebook from the selected NYP appointed vendors or purchase the notebook from other vendors that you know.
Medical cert how submit,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical cert where submit,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical Cert how submit,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical cert submission,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical certificate submit where how,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical submission how,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
medical cert,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
mc submit,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical certificate submission,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
MC submit,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical Certificate,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
How do I submit my MC,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
How do i submit MC,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
How to submit MCs,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
How to submit MC,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Where to submit MC,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Where do i submit my mc,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
where do i submit mc,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
how to submit my mc,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
where to submit my mc,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters' and click on 'Submit Statement of Absence' to update your absence from classes. Submit the original documentary evidence, including medical certificates, within the next two (2) working days following your absence. For all assessments, including examination, submit original hardcopy documentary proof within two (2) working days from your last absence date. For other classes, if you are selected for hardcopy verification, you must submit the original hardcopy documentary proof, including medical certificate, within the next two (2) working days from your last absence date. Once this is done, your absence will not be counted in the calculation of your attendance."
Medical Cert need,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Medical Cert accept?,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
what Medical Cert accepted,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Medical cert what needed,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Medical Cert,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
mc requirement,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
medical cert requirement,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Medical certificate,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Are MCs from traditional chinese medicine clinics acceptable,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Which types of MCs are acceptable,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Which type of MCs are acceptable,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
which kind of mc is acceptable,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Are TCM MCs accepted,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Are TCM MCs acceptable,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Are TCM MCs valid,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Is TCM MC acceptable,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Is TCM MC accepted,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Is TCM MC valid,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Can i submit a TCM MC,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
Can i submit an MC from TCM,"Medical certificates must be obtained from a medical practitioner registered with the Singapore Medical Council or a dental practitioner registered with the Singapore Dental Council, who ought not be a family member. Medical certificates from Traditional Chinese Medicine (TCM) practitioners are not accepted."
How connect student wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
School wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
wifi connection,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
Student wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
How do i connect to my wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
My wifi connect,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
wifi not connecting,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
wifi cannot connect,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
how connect wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
I cannot connect to the school wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
There is a connection error,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
I cannot connect to the wifi,"You may be logged in using a different password or the password has expired. Click on 'Forgot Password' to change your password and do wait for 15 minutes before logging to WiFi. If you still encounter problems with wireless configuration, you may contact your school/department administrators or contact them  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/computer-and-network-centre/wireless-nyp'  here ."
I lost my ezlink card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
I lost my ez-link card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
I lost my concession card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
How do i get a replacement for my ez-link card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
How do i get a replacement for my ezlink card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
How to get a replacement for my ez-link card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
How to get a replacement for my ezlink card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
How to replace my ez-link card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
How to replace my ezlink card,Visit  https://www.transitlink.com.sg/diploma-student-concession-card?ty=art&Id=67#8  Transitlink  to find out 3 ways to get your card replaced.
Can i talk to the ECG counsellor,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
Can i talk to an ECG counsellor,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
I want to talk to the ECG counsellor,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
How do i look for the ECG counsellor,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
How do i make an appointment with the ECG counsellor,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
CAREER GUIDANCE,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
career guidance,"Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/education-and-career-guidance.html    to make an appointment with one of the counsellors. Contacts: Telephone:  +65 6550 0333, Email:  ecg@nyp.edu.sg."
What are the opening hours of ECG@Central,"ECG@Central opens from Monday-Thursday: 8.30am to 5.30pm, Friday: 8.30am to 5pm. Last registration of appointment is 30 minutes before closing."
What are the opening hours of ECG @ Central,"ECG@Central opens from Monday-Thursday: 8.30am to 5.30pm, Friday: 8.30am to 5pm. Last registration of appointment is 30 minutes before closing."
What time does ECG@Central open,"ECG@Central opens from Monday-Thursday: 8.30am to 5.30pm, Friday: 8.30am to 5pm. Last registration of appointment is 30 minutes before closing."
What time does ECG @ Central open,"ECG@Central opens from Monday-Thursday: 8.30am to 5.30pm, Friday: 8.30am to 5pm. Last registration of appointment is 30 minutes before closing."
What time does ECG@Central close,"ECG@Central opens from Monday-Thursday: 8.30am to 5.30pm, Friday: 8.30am to 5pm. Last registration of appointment is 30 minutes before closing."
What time does ECG @ Central close,"ECG@Central opens from Monday-Thursday: 8.30am to 5.30pm, Friday: 8.30am to 5pm. Last registration of appointment is 30 minutes before closing."
ECG Location,ECG@Central is located at Block A Level 1.
ecg at where,ECG@Central is located at Block A Level 1.
Where is ECG@Central,ECG@Central is located at Block A Level 1.
Where is ECG @ Central,ECG@Central is located at Block A Level 1.
Where is ECG@Central located,ECG@Central is located at Block A Level 1.
Where is ECG @ Central located,ECG@Central is located at Block A Level 1.
I cannot find ECG @ Central,ECG@Central is located at Block A Level 1.
I cannot find ECG@Central,ECG@Central is located at Block A Level 1.
reset my password,"Click on 'Forgot Password' to change your password. Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols."
password reset,"Click on 'Forgot Password' to change your password. Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols."
How do i reset my password,"Click on 'Forgot Password' to change your password. Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols."
